証券コード,EDINETコード,提出者名
36270,E05951,ビート・ホールディングス・リミテッド　（貝德控股有限公司、Ｂｅａｔ　Ｈｏｌｄｉｎｇｓ　Ｌｉｍｉｔｅｄ）
39640,E20385,テクミラホールディングス株式会社
36280,E21122,株式会社オークネット
36880,E21740,株式会社電算システム
36320,E22007,株式会社ＣＡＲＴＡ　ＨＯＬＤＩＮＧＳ
36330,E22012,グリーホールディングス株式会社
36350,E22101,ＧＭＯペパボ株式会社
36340,E22460,株式会社コーエーテクモホールディングス
36360,E22461,株式会社ソケッツ
36390,E23492,株式会社三菱総合研究所
36410,E24392,株式会社ボルテージ
36400,E24453,株式会社パピレス
73710,E24457,株式会社電算
94130,E24465,Ｚｅｎｋｅｎ株式会社
36450,E24545,株式会社テレビ東京ホールディングス
36470,E24982,株式会社メディカルネット
36460,E24998,株式会社ジー・スリーホールディングス
36480,E25206,株式会社駅探
36490,E25263,ＡＧＳ株式会社
36520,E25283,株式会社ファインデックス
36530,E25620,株式会社ディジタルメディアプロフェッショナル
36550,E25761,株式会社ヒト・コミュニケーションズ
36590,E25817,株式会社ブレインパッド
36560,E25850,株式会社ネクソン
36570,E25888,株式会社イーブックイニシアティブジャパン
36630,E25898,ポールトゥウィンホールディングス株式会社
36600,E26231,株式会社セルシス
36620,E26301,株式会社アイスタイル
36640,E26369,株式会社エイチームホールディングス
94190,E26596,株式会社モブキャストホールディングス
36650,E26675,株式会社ワイヤレスゲート
36670,E26703,株式会社エニグモ
36680,E27050,株式会社テクノスジャパン
36710,E27064,モバイルクリエイト株式会社
36720,E27276,ソフトマックス株式会社
36730,E27280,株式会社オルトプラス
36740,E27361,株式会社ブロードリーフ
36750,E27394,株式会社オークファン
36780,E27877,株式会社システム情報
94160,E30002,株式会社メディアドゥ
36790,E30010,株式会社ビジョン
36820,E30047,株式会社じげん
36810,E30085,エンカレッジ・テクノロジ株式会社
36830,E30114,株式会社ブイキューブ
94140,E30398,株式会社サイバーリンクス
36860,E30454,日本ＢＳ放送株式会社
36870,E30466,株式会社ディー・エル・イー
94680,E30698,株式会社イグニス
36910,E30731,株式会社ＫＡＤＯＫＡＷＡ
36950,E30856,株式会社デジタルプラス
36920,E30857,ＧＭＯリサーチ＆ＡＩ株式会社
94670,E30877,株式会社ＦＦＲＩセキュリティ
36940,E30908,株式会社アルファポリス
36960,E30918,株式会社オプティム
36970,E30919,株式会社セレス
39100,E30969,株式会社ＳＨＩＦＴ
36980,E30993,株式会社エムケイシステム
39000,E30996,株式会社ＣＲＩ・ミドルウェア
39010,E31019,株式会社クラウドワークス
94180,E31023,マークラインズ株式会社
39020,E31052,株式会社Ｕ－ＮＥＸＴ　ＨＯＬＤＩＮＧＳ
39030,E31056,メディカル・データ・ビジョン株式会社
39040,E31060,株式会社ｇｕｍｉ
39050,E31093,株式会社カヤック
39070,E31131,データセクション株式会社
39120,E31276,株式会社ＡＬＢＥＲＴ
39080,E31331,株式会社モバイルファクトリー
39110,E31336,株式会社コラボス
39130,E31348,株式会社Ａｉｍｉｎｇ
39140,E31354,ＧｒｅｅｎＢｅｅ株式会社
39150,E31436,ＪＩＧ－ＳＡＷ株式会社
94170,E31453,株式会社テラスカイ
39160,E31524,株式会社スマートバリュー
44340,E31573,デジタル・インフォメーション・テクノロジー株式会社
39170,E31585,パイプドＨＤ株式会社
39180,E31626,株式会社アイリッジ
39200,E31753,ＵＢｒａｉｎＴＶ株式会社
39230,E31791,輸出入・港湾関連情報処理センター株式会社
39210,E31878,株式会社ラクス
39260,E31902,株式会社ネオジャパン
39240,E31936,株式会社オープンドア
39290,E31948,株式会社ランドコンピュータ
39250,E31955,ソーシャルワイヤー株式会社
39220,E31957,株式会社ダブルスタンダード
39270,E31965,株式会社ＰＲ　ＴＩＭＥＳ
39280,E31977,株式会社フーバーブレイン
39310,E31991,株式会社マイネット
39300,E32108,株式会社バリューゴルフ
39340,E32141,株式会社はてな
39330,E32159,株式会社ベネフィットジャパン
94660,E32161,チエル株式会社
39320,E32198,株式会社アイドママーケティングコミュニケーション
39360,E32200,株式会社アカツキ
39350,E32225,株式会社グローバルウェイ
61940,E32373,株式会社バリューデザイン
39370,E32400,株式会社アトラエ
39400,E32408,株式会社Ｕｂｉｃｏｍホールディングス
39390,E32591,株式会社ノムラシステムコーポレーション
39650,E32603,株式会社カナミックネットワーク
39620,E32619,株式会社キャピタル・アセット・プランニング
39610,E32620,株式会社チェンジホールディングス
39630,E32624,シルバーエッグ・テクノロジー株式会社
39670,E32673,株式会社ユーザベース
39700,E32750,株式会社エルテス
39790,E32766,株式会社イノベーション
